OBJECTID,Statistical area 2 (SA2) 2023 code,Statistical area 2 (SA2) 2023 name,Statistical area 2 (SA2) 2023 name no macrons,"Subject pop: Census usually resident population, Year: 2013, Measure: Count, Var1: Census usually resident population (Total)","Subject pop: Census usually resident population, Year: 2018, Measure: Count, Var1: Census usually resident population (Total)","Subject pop: Census usually resident population, Year: 2023, Measure: Count, Var1: Census usually resident population (Total)","Subject pop: Census usually resident population, Year: Change 2013-2018, Measure: Percent, Var1: Census usually resident population (Total)","Subject pop: Census usually resident population, Year: Change 2018-2023, Measure: Percent, Var1: Census usually resident population (Total)",Area square kilometres,Land area square kilometres,Shape__Area,Shape__Length
2145,116500,Long Bay,Long Bay,183,1365,3141,645.9,130.1,2.85259429,2.85259429,2852556.841,10810.31372
2146,116401,Taupaki,Taupaki,1446,1551,1797,7.3,15.9,25.73018528,25.73018528,25730282.86,26989.72246
2147,116300,Pāremoremo West,Paremoremo West,804,978,966,21.6,-1.2,9.47697532,9.47697532,9477002.216,19221.69583
2148,116200,Gulf Harbour South,Gulf Harbour South,1839,2664,3015,44.9,13.2,2.34493045,2.34493045,2345207.722,14510.16556
2149,116101,Kumeū Rural East,Kumeu Rural East,1824,2058,2115,12.8,2.8,16.35837104,16.35837104,16358481.6,28160.39708
2150,116000,Army Bay,Army Bay,1410,1566,1482,11.1,-5.4,6.21560428,6.21560428,6215809.171,15701.87706
2151,115901,Riverhead,Riverhead,1278,2724,3558,113.1,30.6,2.15776718,2.15776718,2157706.044,9692.316671
2152,115800,Manly East,Manly East,3354,3555,3561,6,0.2,1.57463151,1.57463151,1574577.364,6400.186919
2153,115700,Gulf Harbour North,Gulf Harbour North,2463,2934,2976,19.1,1.4,1.7570961,1.7570961,1757124.108,6842.197485
2154,115601,Dairy Flat South,Dairy Flat South,1425,1533,1659,7.6,8.2,14.40271263,14.40271263,14402913.39,18831.27408
2155,115501,Coatesville,Coatesville,1845,1920,2112,4.1,10,21.59419555,21.59419555,21594204.85,23432.37072
2156,115400,Tindalls-Matakatia,Tindalls-Matakatia,1749,1977,1938,13,-2,2.93347824,2.93347824,2933517.389,10452.52692
2157,115300,Muriwai Valley-Bethells Beach,Muriwai Valley-Bethells Beach,945,1104,1089,16.8,-1.4,35.35731483,35.35731483,35357440.35,45406.13593
2158,115200,Manly West,Manly West,2289,2349,2367,2.6,0.8,1.03257903,1.03257903,1032607.195,6336.493166
2159,115100,Stanmore Bay East,Stanmore Bay East,2562,2733,2844,6.7,4.1,1.33763725,1.33763725,1337686.074,4882.052777
2160,115002,Kumeū-Huapai South,Kumeu-Huapai South,396,483,2175,22,350.3,2.56212027,2.56212027,2562392.983,8396.747205
2161,115001,Kumeū-Huapai North,Kumeu-Huapai North,1062,2997,4770,182.2,59.2,4.27164795,4.27164795,4271654.065,15116.57994
2162,114902,Wade Heads-Arkles Bay,Wade Heads-Arkles Bay,1884,1956,1998,3.8,2.1,1.65811062,1.65811062,1657992.429,7568.106505
2163,114901,Whangaparāoa Central,Whangaparaoa Central,1347,1830,2388,35.9,30.5,2.03346721,2.03346721,2033436.578,7671.338904
2164,114801,Ōkura Bush,Okura Bush,1227,1272,1395,3.7,9.7,28.2660919,28.2660919,28266271.08,33721.80446
2165,114701,Kumeū Rural West,Kumeu Rural West,1524,1626,1650,6.7,1.5,24.36410971,24.36410971,24363531.47,33800.36519
2166,114600,Stanmore Bay West,Stanmore Bay West,2550,2721,2646,6.7,-2.8,0.98684482,0.98684482,987021.0645,4684.725029
2167,114500,Muriwai,Muriwai,1131,1248,1125,10.3,-9.9,3.01508521,3.01508521,3015047.665,11909.54602
2168,114400,Vipond,Vipond,2766,2925,2889,5.7,-1.2,1.38113817,1.38113817,1381043.578,6351.996898
2169,114300,Gulf Islands,Gulf Islands,120,111,138,-7.5,24.3,66.10814253,66.10814253,66108731.54,152808.3966
2170,114201,Waimauku,Waimauku,1014,1164,1317,14.8,13.1,1.44495248,1.44495248,1444821.62,6818.990134
2171,114102,Stillwater,Stillwater,870,978,939,12.4,-4,0.44307735,0.44307735,443121.6914,3877.700661
2172,114101,Silverdale South (Auckland),Silverdale South (Auckland),999,1083,1143,8.4,5.5,10.41165065,10.41165065,10411676.51,28236.55648
2173,114000,Red Beach East,Red Beach East,3777,4023,3987,6.5,-0.9,1.56359609,1.56359609,1563568.49,6850.699913
2174,113900,Red Beach West,Red Beach West,1944,2136,3210,9.9,50.3,1.84272664,1.84272664,1842984.359,9350.640636
2175,113800,Silverdale Central (Auckland),Silverdale Central (Auckland),273,282,900,3.3,219.1,3.36054517,3.36054517,3360588.859,12570.89244
2176,113700,Riverhead Forest,Riverhead Forest,9,3,3,-66.7,0,48.43089792,48.43089792,48431171.27,43865.39607
2177,113600,Kingsway,Kingsway,1830,2187,2346,19.5,7.3,0.90236356,0.90236356,902257.2578,5648.915659
2178,113500,Dairy Flat West,Dairy Flat West,1287,1422,1524,10.5,7.2,30.981917,30.981917,30981599,30838.78003
2179,113402,Dairy Flat North,Dairy Flat North,1488,1659,1797,11.5,8.3,18.76096576,18.76096576,18760972.59,26559.37313
2180,113401,Milldale,Milldale,162,147,2238,-9.3,1422.4,5.21556041,5.21556041,5215295.925,11359.67378
2181,113300,Millwater South,Millwater South,135,2304,4287,1606.7,86.1,2.41951633,2.41951633,2419631.495,9549.128938
2182,113201,Waipatukahu,Waipatukahu,1398,1635,1626,17,-0.6,56.11965179,56.11965179,56119981.17,43401.73211
2183,113101,Millwater Central,Millwater Central,732,3642,3660,397.5,0.5,1.75242255,1.75242255,1752219.987,7906.726325
2184,113000,Orewa Central,Orewa Central,2925,3096,3183,5.8,2.8,1.45311509,1.45311509,1452918.035,6971.298306
2185,112902,Millwater North,Millwater North,27,18,1353,-33.3,7416.7,0.93145223,0.93145223,930943.1387,5089.266892
2186,112901,Orewa South,Orewa South,2871,3027,3024,5.4,-0.1,1.3801309,1.3801309,1380117.363,6909.688062
2187,112800,Hatfields Beach,Hatfields Beach,1380,1554,1512,12.6,-2.7,0.92325329,0.92325329,923238.7627,4314.585091
2188,112702,Orewa West,Orewa West,39,21,810,-46.2,3757.1,1.5021676,1.5021676,1502456.193,5515.823313
2189,112701,Orewa North,Orewa North,2730,4077,4614,49.3,13.2,1.52872348,1.52872348,1528648.126,5738.737478
2190,112600,Waikoukou Valley,Waikoukou Valley,1518,1728,1749,13.8,1.2,52.86073484,52.86073484,52860545.75,42404.70784
2191,112500,Waitoki,Waitoki,1320,1530,1698,15.9,11,40.74911993,40.74911993,40749010.67,32592.07937
2192,112401,Helensville,Helensville,2673,2820,3279,5.5,16.3,4.05259391,4.05259391,4052853.845,17151.03137
2193,112301,Helensville Rural,Helensville Rural,1302,1491,1620,14.5,8.7,56.40727035,56.40727035,56407835.79,80081.76775
2194,112200,Parakai,Parakai,1020,1098,1083,7.6,-1.4,1.45487644,1.45487644,1454795.571,7121.779869
2195,112102,Ara Hill,Ara Hill,0,0,123,-998,-998,0.36104893,0.36104893,361061.6729,3096.957459
2196,112101,Wainui-Waiwera,Wainui-Waiwera,1323,1557,1686,17.7,8.3,62.23902084,62.23902084,62238128.88,66555.24548
2197,111901,Mahurangi Peninsula,Mahurangi Peninsula,1041,1185,1221,13.8,3,15.34567258,15.34567258,15345245.11,45350.08549
2198,111801,Barrier Islands,Barrier Islands,933,936,1239,0.3,32.4,320.2779182,320.2779182,320277499,371664.0462
2199,111700,Snells Beach,Snells Beach,2931,3405,3678,16.2,8,3.82785084,3.82785084,3827977.051,13977.43032
2200,111602,Kaukapakapa Rural,Kaukapakapa Rural,1464,1704,1770,16.4,3.9,90.82829413,90.82829413,90828616.9,81674.57955
2201,111601,Kaukapakapa,Kaukapakapa,609,876,1062,43.8,21.2,5.25956593,5.25956593,5259052.013,14114.86833
2202,111500,Tawharanui Peninsula,Tawharanui Peninsula,1620,1962,2187,21.1,11.5,46.70381446,46.70381446,46703535.12,77981.42385
2203,111400,Sandspit,Sandspit,879,969,990,10.2,2.2,22.25221069,22.25221069,22252362.24,36949.52001
2204,111300,Warkworth East,Warkworth East,2490,3105,3900,24.7,25.6,4.21945959,4.21945959,4219034.75,10996.81447
2205,111200,Puhoi Valley,Puhoi Valley,3141,3702,4017,17.9,8.5,236.4914461,236.4914461,236491009.2,142447.2115
2206,111100,Warkworth West,Warkworth West,1779,2481,2775,39.5,11.9,11.3622854,11.3622854,11362575.21,22623.61474
2207,110900,Dome Valley-Matakana,Dome Valley-Matakana,1284,1530,1641,19.2,7.3,84.76080134,84.76080134,84760452.01,70048.81874
2208,110800,Kaipara Hills,Kaipara Hills,1686,1965,2235,16.5,13.7,282.6211354,282.6211354,282621608.3,127258.5446
2209,110700,South Head,South Head,2040,2595,2859,27.2,10.2,339.7177126,339.7177126,339715871.7,208214.0556
2210,110501,Wellsford,Wellsford,1743,1974,2037,13.3,3.2,4.72066767,4.72066767,4720391.452,12377.76653
2211,110400,Cape Rodney,Cape Rodney,3096,3525,3735,13.9,6,370.6811193,370.6811193,370680720.4,163228.0902
2212,110201,Okahukura Peninsula,Okahukura Peninsula,1326,1446,1563,9,8.1,211.0566152,211.0566152,211055584.9,202907.2562
2213,110100,Mangawhai,Mangawhai,507,936,1206,84.6,28.8,1.88950133,1.88950133,1889443.463,9211.19942
2214,109900,Mangawhai Heads,Mangawhai Heads,1239,1995,2685,61,34.6,6.98753193,6.98753193,6987352.346,14756.64295
2215,109800,Mangawhai Rural,Mangawhai Rural,1398,2100,2940,50.2,40,91.56214807,91.56214807,91562003.33,89533.12412
2216,109700,Kaiwaka,Kaiwaka,1599,2139,2532,33.8,18.4,259.0279673,259.0279673,259026682.3,204954.7781
2217,109600,Maungatūroto,Maungaturoto,1089,1269,1308,16.5,3.1,21.60130903,21.60130903,21600532.95,29314.68868
2218,109500,Otamatea (Kaipara District),Otamatea (Kaipara District),1482,1713,1890,15.6,10.3,244.8499077,244.8499077,244850209.2,205613.0152
2219,109400,Rūāwai-Matakohe,Ruawai-Matakohe,2289,2436,2631,6.4,8,530.4672132,530.4672132,530467517.7,248653.1949
